No,year,month,day,hour,PM2.5,PM10,SO2,NO2,CO,O3,TEMP,PRES,DEWP,RAIN,wd,WSPM
1,2013,3,1,0,4.0,4.0,3.0,,200.0,82.0,-2.3,1020.8,-19.7,0.0,E,0.5
2,2013,3,1,1,7.0,7.0,3.0,,200.0,80.0,-2.5,1021.3,-19.0,0.0,ENE,0.7
3,2013,3,1,2,5.0,5.0,3.0,2.0,200.0,79.0,-3.0,1021.3,-19.9,0.0,ENE,0.2
4,2013,3,1,3,6.0,6.0,3.0,2.0,200.0,79.0,-3.6,1021.8,-19.1,0.0,NNE,1.0
5,2013,3,1,4,5.0,5.0,3.0,2.0,200.0,81.0,-3.5,1022.3,-19.4,0.0,N,2.1
6,2013,3,1,5,6.0,6.0,3.0,4.0,200.0,79.0,-4.5,1022.6,-19.5,0.0,NNW,1.7
7,2013,3,1,6,5.0,10.0,3.0,4.0,200.0,77.0,-4.5,1023.4,-19.5,0.0,NNW,1.8
8,2013,3,1,7,5.0,6.0,3.0,2.0,200.0,80.0,-2.1,1024.6,-20.0,0.0,NW,2.5
9,2013,3,1,8,8.0,7.0,3.0,3.0,200.0,79.0,-0.2,1025.2,-20.5,0.0,NNW,2.8
10,2013,3,1,9,8.0,8.0,3.0,2.0,200.0,81.0,0.6,1025.3,-20.4,0.0,NNW,3.8
11,2013,3,1,10,8.0,8.0,3.0,2.0,200.0,83.0,2.0,1025.1,-21.3,0.0,N,2.2
12,2013,3,1,11,3.0,2.0,3.0,2.0,200.0,83.0,3.6,1024.8,-20.7,0.0,NNE,2.7
13,2013,3,1,12,6.0,2.0,3.0,2.0,200.0,85.0,4.8,1023.8,-19.7,0.0,N,3.0
14,2013,3,1,13,7.0,7.0,3.0,2.0,200.0,84.0,5.8,1022.8,-20.6,0.0,NE,4.4
15,2013,3,1,14,6.0,7.0,3.0,2.0,200.0,89.0,5.9,1022.6,-20.5,0.0,N,3.6
16,2013,3,1,15,10.0,10.0,3.0,2.0,200.0,88.0,6.0,1022.6,-20.4,0.0,N,3.2
17,2013,3,1,16,3.0,6.0,3.0,2.0,200.0,87.0,5.4,1022.8,-20.0,0.0,NE,2.2
18,2013,3,1,17,5.0,5.0,3.0,2.0,200.0,87.0,3.5,1023.4,-20.8,0.0,ENE,2.0
19,2013,3,1,18,5.0,6.0,3.0,2.0,200.0,85.0,2.7,1024.2,-20.0,0.0,NE,3.6
20,2013,3,1,19,14.0,6.0,3.0,2.0,200.0,83.0,2.0,1025.1,-19.3,0.0,ENE,1.7
21,2013,3,1,20,6.0,7.0,3.0,2.0,200.0,83.0,1.1,1025.9,-18.3,0.0,NE,1.7
22,2013,3,1,21,9.0,7.0,3.0,2.0,200.0,82.0,1.6,1026.7,-17.4,0.0,E,2.3
23,2013,3,1,22,6.0,5.0,3.0,2.0,200.0,79.0,0.4,1027.2,-17.4,0.0,E,0.0
