No,year,month,day,hour,PM2.5,PM10,SO2,NO2,CO,O3,TEMP,PRES,DEWP,RAIN,wd,WSPM,arah
24865,2016,1,1,0,90.0,90.0,22.0,76.0,3600.0,2.0,-3.8,1019.6,-9.6,0.0,NNW,1.2,NNW
24866,2016,1,1,1,82.0,82.0,20.0,79.0,3500.0,2.0,-3.8,1018.8,-9.8,0.0,N,1.5,N
24867,2016,1,1,2,89.0,89.0,21.0,80.0,3400.0,2.0,-3.9,1018.6,-9.7,0.0,N,1.1,N
24868,2016,1,1,3,84.0,84.0,20.0,80.0,3300.0,2.0,-3.7,1018.0,-9.7,0.0,NNW,1.3,NNW
24869,2016,1,1,4,89.0,89.0,20.0,81.0,3200.0,2.0,-4.9,1017.3,-9.9,0.0,NW,1.1,NW
24870,2016,1,1,5,94.0,94.0,19.0,77.0,3200.0,2.0,-4.2,1016.4,-9.8,0.0,NNE,1.4,NNE
24871,2016,1,1,6,94.0,94.0,18.0,71.0,3100.0,2.0,-5.1,1015.8,-9.7,0.0,NNE,0.9,NNE
24872,2016,1,1,7,91.0,100.0,18.0,68.0,3100.0,2.0,-5.8,1016.0,-9.9,0.0,NNW,1.4,NNW
24873,2016,1,1,8,97.0,114.0,21.0,63.0,3100.0,2.0,-5.5,1016.3,-9.6,0.0,N,1.4,N
24874,2016,1,1,9,122.0,144.0,27.0,57.0,3300.0,2.0,-4.9,1016.3,-9.2,0.0,NNW,0.8,NNW
24875,2016,1,1,10,212.0,246.0,55.0,73.0,3800.0,3.0,-1.0,1015.9,-8.7,0.0,WNW,0.5,WNW
24876,2016,1,1,11,130.0,138.0,57.0,66.0,4300.0,7.0,1.7,1015.0,-7.4,0.0,SE,1.1,SE
24877,2016,1,1,12,139.0,141.0,54.0,73.0,4200.0,13.0,2.4,1013.8,-8.1,0.0,S,1.5,S
24878,2016,1,1,13,167.0,201.0,50.0,102.0,4300.0,9.0,3.1,1012.4,-8.0,0.0,ESE,1.7,ESE
24879,2016,1,1,14,149.0,166.0,49.0,89.0,4300.0,16.0,4.8,1011.5,-8.0,0.0,NNW,0.5,NNW
24880,2016,1,1,15,143.0,163.0,51.0,88.0,4200.0,17.0,5.0,1011.3,-8.5,0.0,S,1.1,S
24881,2016,1,1,16,140.0,157.0,49.0,95.0,4000.0,12.0,4.6,1011.2,-8.5,0.0,SW,0.7,SW
24882,2016,1,1,17,147.0,174.0,37.0,97.0,4000.0,2.0,2.5,1011.7,-8.3,0.0,WNW,0.4,WNW
24883,2016,1,1,18,179.0,207.0,35.0,94.0,4000.0,2.0,0.2,1011.9,-7.8,0.0,NNW,1.2,NNW
24884,2016,1,1,19,160.0,163.0,32.0,92.0,4100.0,2.0,-1.1,1012.2,-8.1,0.0,N,0.8,N
24885,2016,1,1,20,162.0,162.0,25.0,84.0,4200.0,2.0,-1.1,1012.4,-7.5,0.0,NE,0.2,NE
24886,2016,1,1,21,169.0,176.0,31.0,92.0,4200.0,2.0,-1.3,1012.8,-7.9,0.0,NNW,1.5,NNW
24887,2016,1,1,22,158.0,160.0,24.0,86.0,4200.0,2.0,-2.3,1012.7,-8.0,0.0,NNW,2.2,NNW
24888,2016,1,1,23,145.0,145.0,22.0,82.0,4200.0,2.0,-2.8,1012.5,-8.1,0.0,NNW,0.6,NNW
24889,2016,1,2,0,144.0,144.0,23.0,83.0,4100.0,2.0,-2.7,1012.3,-8.0,0.0,NNE,0.5,NNE
24890,2016,1,2,1,159.0,159.0,25.0,85.0,4000.0,2.0,-2.8,1011.8,-7.9,0.0,NNW,1.4,NNW
24891,2016,1,2,2,189.0,189.0,26.0,85.0,4100.0,2.0,-2.9,1011.7,-8.0,0.0,NNW,1.0,NNW
24892,2016,1,2,3,165.0,165.0,19.0,81.0,4600.0,2.0,-3.3,1011.5,-7.8,0.0,N,1.6,N
24893,2016,1,2,4,150.0,150.0,12.0,73.0,4700.0,2.0,-3.8,1011.0,-7.9,0.0,NNW,1.2,NNW
24894,2016,1,2,5,150.0,150.0,13.0,71.0,4500.0,2.0,-4.6,1010.6,-8.2,0.0,NW,1.3,NW
24895,2016,1,2,6,126.0,126.0,15.0,70.0,4400.0,2.0,-4.6,1010.8,-8.2,0.0,NNW,1.3,NNW
24896,2016,1,2,7,115.0,119.0,16.0,64.0,4300.0,2.0,-4.8,1010.9,-7.9,0.0,NNW,1.4,NNW
24897,2016,1,2,8,118.0,118.0,15.0,65.0,4100.0,2.0,-4.2,1010.9,-7.6,0.0,NNE,0.9,NNE
24898,2016,1,2,9,116.0,126.0,31.0,58.0,3800.0,8.0,-2.3,1011.4,-6.3,0.0,SSE,0.3,SSE
24899,2016,1,2,10,189.0,199.0,48.0,68.0,3800.0,10.0,0.7,1012.0,-6.0,0.0,SSW,1.2,SSW
24900,2016,1,2,11,226.0,245.0,49.0,104.0,4200.0,10.0,2.4,1011.8,-6.0,0.0,SW,1.1,SW
24901,2016,1,2,12,277.0,307.0,51.0,124.0,4800.0,10.0,4.4,1010.8,-5.7,0.0,SSE,1.0,SSE
24902,2016,1,2,13,259.0,272.0,47.0,119.0,5100.0,14.0,4.8,1009.8,-5.9,0.0,ESE,1.2,ESE
24903,2016,1,2,14,261.0,274.0,44.0,124.0,5300.0,12.0,5.7,1009.0,-5.9,0.0,ESE,1.0,ESE
24904,2016,1,2,15,247.0,261.0,44.0,127.0,5400.0,12.0,6.7,1009.0,-6.0,0.0,SSW,1.1,SSW
24905,2016,1,2,16,258.0,280.0,42.0,132.0,5400.0,8.0,6.2,1009.2,-5.8,0.0,SSW,1.5,SSW
24906,2016,1,2,17,247.0,276.0,35.0,124.0,5400.0,4.0,3.9,1009.7,-6.1,0.0,N,1.0,N
24907,2016,1,2,18,263.0,283.0,28.0,129.0,5400.0,2.0,2.6,1010.3,-6.3,0.0,NNE,1.4,NNE
24908,2016,1,2,19,273.0,285.0,24.0,119.0,5500.0,2.0,0.0,1010.5,-6.2,0.0,NW,1.2,NW
24909,2016,1,2,20,255.0,255.0,24.0,106.0,5700.0,2.0,-0.7,1011.3,-5.9,0.0,E,0.7,E
24910,2016,1,2,21,235.0,235.0,25.0,99.0,5700.0,2.0,-1.3,1011.8,-5.9,0.0,NNE,1.2,NNE
24911,2016,1,2,22,273.0,273.0,27.0,93.0,5800.0,2.0,-1.7,1011.8,-6.3,0.0,N,0.4,N
24912,2016,1,2,23,206.0,206.0,18.0,88.0,5700.0,2.0,-2.0,1011.9,-6.4,0.0,NNE,0.9,NNE
24913,2016,1,3,0,227.0,227.0,15.0,97.0,5500.0,2.0,-1.9,1011.8,-6.5,0.0,NNW,1.1,NNW
24914,2016,1,3,1,304.0,304.0,21.0,109.0,5300.0,2.0,-2.6,1011.7,-6.4,0.0,NNW,0.3,NNW
24915,2016,1,3,2,392.0,392.0,23.0,120.0,5500.0,2.0,-3.2,1011.9,-7.0,0.0,NNW,1.2,NNW
24916,2016,1,3,3,341.0,345.0,15.0,119.0,5700.0,2.0,-3.4,1012.0,-6.7,0.0,NE,0.1,NE
24917,2016,1,3,4,337.0,339.0,12.0,111.0,5700.0,2.0,-3.8,1012.2,-6.7,0.0,NE,0.1,NE
24918,2016,1,3,5,326.0,328.0,9.0,102.0,5800.0,2.0,-4.1,1012.5,-6.9,0.0,NNW,1.5,NNW
24919,2016,1,3,6,307.0,307.0,9.0,95.0,5900.0,2.0,-3.3,1013.1,-5.5,0.0,ESE,1.1,ESE
24920,2016,1,3,7,312.0,316.0,7.0,93.0,6000.0,2.0,-4.4,1013.9,-6.5,0.0,NNW,0.9,NNW
24921,2016,1,3,8,319.0,323.0,6.0,95.0,6000.0,2.0,-4.2,1014.1,-6.5,0.0,NW,0.8,NW
24922,2016,1,3,9,325.0,348.0,7.0,88.0,6000.0,2.0,-4.1,1014.9,-6.1,0.0,NNW,1.1,NNW
24923,2016,1,3,10,367.0,371.0,13.0,91.0,6100.0,3.0,-2.8,1015.1,-5.1,0.0,NNW,1.2,NNW
24924,2016,1,3,11,369.0,369.0,23.0,92.0,6200.0,7.0,-1.1,1014.9,-4.3,0.0,NW,0.9,NW
24925,2016,1,3,12,334.0,335.0,36.0,90.0,6200.0,14.0,0.1,1013.8,-4.4,0.0,WNW,1.0,WNW
24926,2016,1,3,13,202.0,202.0,33.0,54.0,5800.0,36.0,1.4,1012.6,-4.1,0.0,SE,1.0,SE
24927,2016,1,3,14,214.0,214.0,28.0,62.0,5100.0,35.0,1.5,1012.2,-4.4,0.0,SE,2.2,SE
24928,2016,1,3,15,241.0,241.0,29.0,77.0,4700.0,28.0,1.8,1012.2,-4.1,0.0,S,1.6,S
24929,2016,1,3,16,243.0,243.0,27.0,85.0,4500.0,20.0,1.6,1012.8,-4.1,0.0,W,0.7,W
24930,2016,1,3,17,253.0,253.0,21.0,94.0,4500.0,7.0,0.6,1013.1,-4.1,0.0,NNE,0.6,NNE
24931,2016,1,3,18,243.0,243.0,11.0,88.0,4400.0,2.0,-1.0,1014.2,-4.5,0.0,NNW,0.9,NNW
24932,2016,1,3,19,242.0,242.0,10.0,84.0,4400.0,4.0,-1.5,1015.3,-4.7,0.0,NE,0.1,NE
24933,2016,1,3,20,245.0,245.0,11.0,82.0,4400.0,2.0,-2.1,1015.7,-5.1,0.0,NNW,1.5,NNW
24934,2016,1,3,21,244.0,244.0,9.0,75.0,4500.0,2.0,-2.9,1016.2,-5.5,0.0,NNW,1.4,NNW
24935,2016,1,3,22,243.0,243.0,17.0,61.0,4600.0,15.0,-3.8,1016.7,-6.3,0.0,NW,1.2,NW
24936,2016,1,3,23,9.0,9.0,8.0,5.0,4400.0,67.0,-3.4,1017.1,-5.9,0.0,NNE,1.3,NNE
24937,2016,1,4,0,7.0,7.0,5.0,5.0,3700.0,70.0,1.0,1017.5,-10.8,0.0,NNE,2.1,NNE
24938,2016,1,4,1,8.0,8.0,5.0,5.0,3100.0,72.0,0.2,1018.2,-11.8,0.0,N,2.2,N
24939,2016,1,4,2,6.0,6.0,5.0,5.0,2600.0,76.0,0.3,1019.1,-12.4,0.0,NNW,2.8,NNW
24940,2016,1,4,3,5.0,5.0,3.0,4.0,2300.0,79.0,-0.3,1019.8,-12.9,0.0,NNW,4.0,NNW
24941,2016,1,4,4,5.0,5.0,3.0,5.0,2100.0,71.0,-0.9,1020.0,-13.5,0.0,NNW,3.4,NNW
24942,2016,1,4,5,4.0,5.0,3.0,2.0,2000.0,76.0,-1.3,1020.5,-13.8,0.0,NNE,1.8,NNE
24943,2016,1,4,6,8.0,8.0,4.0,6.0,1900.0,69.0,-2.5,1020.9,-14.0,0.0,NW,1.7,NW
24944,2016,1,4,7,9.0,9.0,5.0,8.0,1900.0,67.0,-2.3,1021.3,-14.4,0.0,N,2.4,N
24945,2016,1,4,8,5.0,5.0,4.0,6.0,1900.0,71.0,-2.3,1022.3,-15.0,0.0,N,2.2,N
24946,2016,1,4,9,7.0,7.0,5.0,6.0,1900.0,70.0,-2.5,1022.9,-15.2,0.0,ESE,1.0,ESE
24947,2016,1,4,10,9.0,43.0,5.0,7.0,1800.0,69.0,-0.3,1022.9,-17.1,0.0,WNW,4.6,WNW
24948,2016,1,4,11,11.0,79.0,6.0,7.0,1800.0,70.0,0.0,1022.6,-17.3,0.0,WNW,4.7,WNW
24949,2016,1,4,12,13.0,87.0,7.0,7.0,1800.0,70.0,0.0,1021.7,-16.8,0.0,WNW,4.0,WNW
24950,2016,1,4,13,13.0,42.0,8.0,8.0,1800.0,70.0,1.1,1020.7,-17.3,0.0,WNW,3.1,WNW
24951,2016,1,4,14,12.0,23.0,8.0,8.0,100.0,70.0,2.2,1020.0,-17.4,0.0,NW,2.5,NW
24952,2016,1,4,15,17.0,35.0,8.0,10.0,100.0,69.0,2.5,1019.8,-18.3,0.0,WNW,2.9,WNW
